candle_begin_time,open,high,low,close,volume
2017-01-01 00:00:00,966.61,967.4,966.61,967.39,23.24757769
2017-01-01 00:05:00,967.55,967.79,966.77,966.77,2.6996896199999996
2017-01-01 00:10:00,965.79,965.79,965.03,965.03,1.36045367
2017-01-01 00:15:00,965.03,965.83,965.0,965.11,25.14101282
2017-01-01 00:20:00,965.11,965.11,965.11,965.11,0.24260369
2017-01-01 00:25:00,966.26,966.48,965.12,966.47,10.01882
2017-01-01 00:30:00,966.46,967.05,966.41,967.04,11.14725971
2017-01-01 00:35:00,966.81,966.81,965.42,966.8,3.6251750699999996
2017-01-01 00:40:00,966.81,967.68,966.01,966.01,5.12386132
2017-01-01 00:50:00,966.63,966.73,966.03,966.71,2.68384933
2017-01-01 00:55:00,966.71,967.0,966.71,967.0,10.27431151
2017-01-01 01:00:00,967.0,967.04,967.0,967.0,1.44223415
2017-01-01 01:05:00,967.0,967.0,967.0,967.0,4.9132
2017-01-01 01:10:00,967.2,967.2,967.2,967.2,3.9898
2017-01-01 01:15:00,967.2,967.25,967.2,967.21,4.12676101
2017-01-01 01:20:00,967.21,967.21,967.0,967.0,2.4
2017-01-01 01:25:00,967.0,967.0,967.0,967.0,0.5
2017-01-01 01:30:00,966.6,966.9,966.0,966.0,23.275670549999997
2017-01-01 01:35:00,965.5,966.03,965.5,965.5,11.300389379999999
2017-01-01 01:40:00,966.04,966.04,965.59,965.6,1.12192128
2017-01-01 01:45:00,965.59,965.59,965.53,965.59,7.5641174399999995
2017-01-01 01:50:00,965.5,965.5,965.5,965.5,0.02840019
2017-01-01 02:05:00,965.59,965.59,965.59,965.59,0.04430638
2017-01-01 02:10:00,965.59,965.59,965.59,965.59,0.97511416
2017-01-01 02:15:00,966.2,966.21,966.2,966.21,0.30110356
2017-01-01 02:25:00,966.24,966.59,966.0,966.0,1.15818337
2017-01-01 02:30:00,966.0,966.0,965.84,965.84,11.39982545
2017-01-01 02:35:00,965.84,965.84,965.5,965.5,36.90225114
2017-01-01 02:40:00,965.5,965.5,965.1,965.11,10.03726334
2017-01-01 02:45:00,965.1,965.1,965.1,965.1,3.194
2017-01-01 02:50:00,965.1,965.1,965.0,965.0,5.7681000000000004
2017-01-01 02:55:00,965.0,965.0,965.0,965.0,0.06
2017-01-01 03:00:00,965.01,965.01,965.01,965.01,0.01089
2017-01-01 03:05:00,965.0,965.0,965.0,965.0,7.2684
2017-01-01 03:15:00,965.0,965.0,965.0,965.0,1.61855828
2017-01-01 03:20:00,965.0,965.01,963.86,963.86,33.59293542
2017-01-01 03:25:00,963.23,963.4,963.16,963.36,2.1589557999999998
2017-01-01 03:30:00,963.45,964.02,963.37,964.01,4.596684950000001
2017-01-01 03:35:00,964.02,964.02,964.01,964.01,3.45889038
2017-01-01 03:40:00,964.01,964.02,963.9,963.9,3.6863703699999997
2017-01-01 03:45:00,963.75,964.12,963.75,964.12,0.10810179
2017-01-01 03:50:00,964.49,964.49,964.49,964.49,0.2
2017-01-01 04:00:00,963.84,963.84,962.79,962.98,17.906343280000005
2017-01-01 04:05:00,963.38,963.38,963.38,963.38,0.05109242
2017-01-01 04:10:00,963.27,963.82,963.27,963.68,7.17744424
