Date,Time,Open,High,Low,Close,TotalVolume
2017/7/1,0:00:00,2420.6,2436,2420,2422.4,192.1637966
2017/7/1,1:00:00,2425,2430.5,2375,2385.1,1021.317558
2017/7/1,2:00:00,2385.1,2392.8,2361,2386.1,844.1954184
2017/7/1,3:00:00,2386.3,2398,2360.911189,2374.5,443.7345123
2017/7/1,4:00:00,2374.5,2409,2368.3,2408.892545,296.7397302
2017/7/1,5:00:00,2407.8,2413,2391.6,2393.7,322.7533701
2017/7/1,6:00:00,2394.2,2419.7,2393.8,2410.3,435.6550557
2017/7/1,7:00:00,2409.3,2436.995911,2402,2434.8,511.5795586
2017/7/1,8:00:00,2434.9,2441,2425.5,2429.1,323.1069385
2017/7/1,9:00:00,2429.1,2439,2411.1,2432.5,314.8334611
2017/7/1,10:00:00,2433.5,2434.9,2417.8,2419.973954,191.7327518
2017/7/1,11:00:00,2420.887884,2431.626569,2415.4,2424.7,237.1513585
2017/7/1,12:00:00,2425.9,2427.9,2403.3,2403.3,308.2872474
2017/7/1,13:00:00,2403.4,2410,2369.4,2373.7,701.3141252
2017/7/1,14:00:00,2372.5,2388.8,2352.2,2377.309371,698.7179267
2017/7/1,15:00:00,2377.5,2402.6,2376.8,2400.4,425.5726072
2017/7/1,16:00:00,2400.2,2404.7,2391,2396.5,280.7872405
2017/7/1,17:00:00,2397.1,2397.1,2354.2,2379.7,734.0649054
2017/7/1,18:00:00,2379,2382.1,2335.1,2352.6,1289.204733
2017/7/1,19:00:00,2352.9,2360,2320.1,2343.5,1206.24394
2017/7/1,20:00:00,2342.5,2344.8,2305,2305.9,1163.530101
2017/7/1,21:00:00,2306,2332.2,2291,2317.276922,1761.150815
2017/7/1,22:00:00,2317.3,2333.7,2300,2332.7,691.4831627
2017/7/1,23:00:00,2330.6,2358.1,2330,2346.2,683.6432053
2017/7/2,0:00:00,2346.1,2348.8,2310,2310,553.3154716
2017/7/2,1:00:00,2310.087144,2330.9,2306.9,2329,283.5642624
2017/7/2,2:00:00,2329.2,2333.8,2302,2325,667.8515246
2017/7/2,3:00:00,2325,2330.9,2308,2310.1,443.3124016
2017/7/2,4:00:00,2311.2,2317,2305.1,2316,670.0405184
2017/7/2,5:00:00,2315.6,2359.9,2315.6,2356,638.1030229
2017/7/2,6:00:00,2356,2356,2325.7,2334.2,199.0650154
2017/7/2,7:00:00,2335.6,2351.2,2331.1,2351,186.2173739
2017/7/2,8:00:00,2351.1,2388.4,2346.1,2388.4,1028.374045
2017/7/2,9:00:00,2387,2389.9,2372.3,2372.4,273.2226682
2017/7/2,10:00:00,2372.4,2383,2361.2,2364.752283,181.4141212
2017/7/2,11:00:00,2364.7,2380.9,2354,2380.7,235.2153897
2017/7/2,12:00:00,2381,2384.1,2356.4,2358.8,239.0499902
2017/7/2,13:00:00,2358.7,2368.29011,2342.1,2349.9,326.8224297
2017/7/2,14:00:00,2349.9,2360.4,2340.2,2358,333.8769191
2017/7/2,15:00:00,2358.4,2390,2354.252924,2387.4,455.7695032
2017/7/2,16:00:00,2389.2,2400,2378.3,2391.4,411.0961095
2017/7/2,17:00:00,2391.5,2420,2388.8,2417.8,801.0181895
2017/7/2,18:00:00,2414.2,2440,2407,2409.716928,1197.012868
2017/7/2,19:00:00,2409.716928,2428.1,2403.3,2421.6,264.1415536
2017/7/2,20:00:00,2422.1,2431,2417.5,2431,201.9853165
2017/7/2,21:00:00,2430.3,2462.5,2425.7,2460.5,884.0047955
2017/7/2,22:00:00,2460.5,2462.8,2419.3,2437.125051,798.0330194
2017/7/2,23:00:00,2437.2,2476.3,2437.1,2445.1,761.8819591
2017/7/3,0:00:00,2445.1,2456.4,2424.3,2428.9,390.7378391
2017/7/3,1:00:00,2427,2454.3,2425.9,2443,237.8376719
2017/7/3,2:00:00,2443.8,2443.9,2420.454312,2425,223.6999786
2017/7/3,3:00:00,2425.1,2429.1,2416.2,2427.9,146.5593799
2017/7/3,4:00:00,2426.2,2458.8,2426,2452.4,415.7699347
2017/7/3,5:00:00,2452.3,2459.6,2425.3,2445.4,378.4825598
2017/7/3,6:00:00,2445.4,2454,2438.5,2453.8,200.5138426
2017/7/3,7:00:00,2449,2458,2422,2423.5,222.5041724
2017/7/3,8:00:00,2424.8,2432,2420.6,2422.4,167.7583104
2017/7/3,9:00:00,2425.8,2431.7,2421,2430.2,256.8249648
2017/7/3,10:00:00,2430.2,2447.8,2420.3,2435.8,303.3646598
2017/7/3,11:00:00,2436.9,2461.5,2431.1,2461.1,562.8941423
2017/7/3,12:00:00,2461.5,2500,2460.1,2489.9,1149.453559
2017/7/3,13:00:00,2488.5,2575.2,2486,2555.5,3039.915439
2017/7/3,14:00:00,2555.9,2587.4,2532.9,2539,1745.809173
2017/7/3,15:00:00,2538.5,2562.7,2535,2560.8,591.5831562
2017/7/3,16:00:00,2560.9,2563.9,2520,2539.1,894.0918055
2017/7/3,17:00:00,2539,2541.8,2525.5,2527.7,497.2605462
2017/7/3,18:00:00,2527.8,2529.9,2518.5,2518.5,817.1708783
2017/7/3,19:00:00,2518.5,2539.9,2508.4,2532.7,1364.375504
2017/7/3,20:00:00,2532.6,2548,2528.2,2538.1,573.6887211
2017/7/3,21:00:00,2533.7,2563.5,2533.7,2563.1,584.0382838
2017/7/3,22:00:00,2563.1,2578.9,2549.9,2552.6,921.1589344
2017/7/3,23:00:00,2552.6,2555,2521.9,2524,454.5332661
2017/7/4,0:00:00,2525.7,2556.5,2524.8,2554,435.1055583
2017/7/4,1:00:00,2553.9,2570.9,2552,2568.8,484.3258198
2017/7/4,2:00:00,2568.7,2610,2565.4,2602.8,1549.27393
2017/7/4,3:00:00,2602.7,2621.5,2591,2604.8,957.6058951
2017/7/4,4:00:00,2604.8,2610,2596,2603.8,395.2810209
2017/7/4,5:00:00,2603.6,2620,2596.6,2608.7,652.2082756
2017/7/4,6:00:00,2609.6,2619.9,2600.1,2613.9,402.1952935
2017/7/4,7:00:00,2617,2628.6,2613.6,2616.3,616.0813307
2017/7/4,8:00:00,2616.2,2616.2,2589.5,2590.4,714.4538093
2017/7/4,9:00:00,2590.7,2608.9,2590.2,2599.7,387.0392522
2017/7/4,10:00:00,2599.2,2600.1,2581.5,2595.1,297.2266598
2017/7/4,11:00:00,2591.9,2610,2591,2607.6,249.0363986
2017/7/4,12:00:00,2606,2617.4,2597.1,2601.9,302.3167626
2017/7/4,13:00:00,2601,2613,2594.2,2610.1,345.7536718
2017/7/4,14:00:00,2606.6,2612.2,2591.9,2595.2,676.1391933
2017/7/4,15:00:00,2595.4,2598.3,2552,2557.1,1623.865502
2017/7/4,16:00:00,2554.4,2568.9,2526.2,2537.4,1601.575615
2017/7/4,17:00:00,2538.4,2563,2535.8,2554.7,658.7239185
2017/7/4,18:00:00,2557.3,2562.9,2538.3,2548.4,410.7197081
2017/7/4,19:00:00,2548.4,2548.799182,2516.8,2520.3,822.5729875
2017/7/4,20:00:00,2525.1,2548.5,2511,2531.5,639.1581825
2017/7/4,21:00:00,2531.652756,2558.5,2530.1,2549.5,326.8752969
2017/7/4,22:00:00,2551.2,2563.4,2548.6,2561,502.848869
2017/7/4,23:00:00,2560.2,2592.9,2560.2,2579.9,697.8848031
2017/7/5,0:00:00,2579.9,2583.5,2533,2542.08691,733.6732551
2017/7/5,1:00:00,2542,2557.879798,2534.1,2537.5,356.5737884
2017/7/5,2:00:00,2537.542194,2542.9,2527.9,2533.8,290.5077458
2017/7/5,3:00:00,2533,2543.9,2533,2540.9,212.6477128
2017/7/5,4:00:00,2540.9,2545,2515.2,2529.1,403.4969058
2017/7/5,5:00:00,2529,2538.2,2522.1,2534,211.9288233
2017/7/5,6:00:00,2534.1,2536.9,2519.4,2522.9,338.6898819
2017/7/5,7:00:00,2521.1,2521.1,2477.9,2499.6,1772.900086
2017/7/5,8:00:00,2499.4,2521,2499.2,2516.5,488.5129174
2017/7/5,9:00:00,2520.3,2521,2502.8,2520.6,236.2659307
2017/7/5,10:00:00,2521.6,2522,2500,2500.1,317.0618175
2017/7/5,11:00:00,2500.6,2517.1,2500.6,2516,233.5293133
2017/7/5,12:00:00,2516,2531.2,2515.9,2526.3,352.9066445
2017/7/5,13:00:00,2526.3,2550,2514.5,2546.7,710.518035
2017/7/5,14:00:00,2546,2552.8,2532.2,2548.3,972.1954731
2017/7/5,15:00:00,2548,2555,2541.4,2555,386.5329474
2017/7/5,16:00:00,2554.9,2570,2552.9,2558.6,475.3055456
2017/7/5,17:00:00,2558.5,2570,2547.8,2569.7,759.5622202
2017/7/5,18:00:00,2569.7,2591.2,2569.7,2576.1,1144.189774
2017/7/5,19:00:00,2576.1,2604,2576,2603.8,1161.550418
2017/7/5,20:00:00,2603.1,2603.9,2591.3,2592.2,420.5089509
2017/7/5,21:00:00,2592.2,2601,2582.5,2593,464.2025089
2017/7/5,22:00:00,2593.1,2619,2593,2601.4,717.4282383
2017/7/5,23:00:00,2601.3,2601.3,2587.9,2598.6,373.5319667
2017/7/6,0:00:00,2598.5,2600,2592.461121,2596.8,208.6246987
2017/7/6,1:00:00,2596.7,2599,2573.2,2577.4,656.8665324
2017/7/6,2:00:00,2580,2592,2574.5,2583.2,359.0264081
2017/7/6,3:00:00,2586.869261,2601.2,2579.729788,2601,289.1554471
2017/7/6,4:00:00,2601,2601.1,2573.1,2575.2,256.8012982
2017/7/6,5:00:00,2575.2,2579.4,2563.1,2571.6,408.6821196
2017/7/6,6:00:00,2571.7,2584.8,2570,2583,247.9303407
2017/7/6,7:00:00,2584.3,2588.795786,2572.1,2584.3,342.275934
2017/7/6,8:00:00,2584.9,2594.7,2578.2,2590.093924,375.7184595
2017/7/6,9:00:00,2587.4,2590.9,2546,2564.2,1169.237129
2017/7/6,10:00:00,2564.1,2574,2559.686303,2568.7,256.4059654
2017/7/6,11:00:00,2569.1,2570.4,2549.9,2565.5,478.0810061
2017/7/6,12:00:00,2565.5,2579.9,2560.5,2572.3,360.2373413
2017/7/6,13:00:00,2573.8,2581.5,2560.8,2580.2,535.2375783
2017/7/6,14:00:00,2580,2581.4,2570.2,2575.9,511.7988371
2017/7/6,15:00:00,2574.4,2585.3,2574.4,2574.5,247.7357946
2017/7/6,16:00:00,2574.7,2584,2574.4,2580.000889,264.8439555
2017/7/6,17:00:00,2580,2591.7,2578.5,2583.5,348.9620277
2017/7/6,18:00:00,2583.4,2588.3,2574.6,2579.8,249.4323497
2017/7/6,19:00:00,2578.8,2581.769531,2569.5,2580.1,329.654654
2017/7/6,20:00:00,2580.1,2585.5,2577.4,2584,419.9047154
2017/7/6,21:00:00,2583.7,2586.6,2577.1,2586.6,566.7863043
2017/7/6,22:00:00,2586.6,2607.1,2586.1,2597.6,745.529628
2017/7/6,23:00:00,2597.8,2601.5,2590.4,2593.2,202.8764845
2017/7/7,0:00:00,2592.9,2598.8,2590.5,2597,181.7606611
2017/7/7,1:00:00,2597,2597.1,2570.4,2579.2,430.6907771
2017/7/7,2:00:00,2579.1,2583.8,2559.2,2559.9,531.7586522
2017/7/7,3:00:00,2559.9,2567.2,2555,2564.9,526.7143571
2017/7/7,4:00:00,2565,2569,2562,2566.4,99.55851243
2017/7/7,5:00:00,2563.7,2572.3,2563.4,2572.3,111.3485132
2017/7/7,6:00:00,2572.2,2573.7,2532.4,2538.8,828.2852219
2017/7/7,7:00:00,2537.5,2540,2515.1,2522.3,1035.093717
2017/7/7,8:00:00,2522.2,2534.4,2506.3,2521.8,631.9015055
2017/7/7,9:00:00,2521.9,2527.6,2512,2521.6,389.9678635
2017/7/7,10:00:00,2524.3,2530,2518.8,2526,304.3150946
2017/7/7,11:00:00,2526,2526.1,2484.2,2488.4,1506.779079
2017/7/7,12:00:00,2488.4,2499.7,2472.6,2496.5,1565.078465
2017/7/7,13:00:00,2496.6,2506.5,2455.5,2485.7,1769.989597
2017/7/7,14:00:00,2485.7,2500,2479.7,2490,755.6757152
2017/7/7,15:00:00,2494.2,2506.2,2466,2502,879.8024111
2017/7/7,16:00:00,2501.9,2508.5,2489.7,2489.7,560.1704166
2017/7/7,17:00:00,2489.7,2520,2489.7,2519.9,781.7083071
2017/7/7,18:00:00,2519.9,2520.5,2490.5,2501.2,708.7399872
2017/7/7,19:00:00,2501.2,2509.821189,2499,2506.8,268.1428756
2017/7/7,20:00:00,2505.4,2507,2495.9,2496.2,304.3573874
2017/7/7,21:00:00,2495.9,2501.4,2472,2473.4,599.0506539
2017/7/7,22:00:00,2472.2,2477.9,2447,2452.2,1611.993655
2017/7/7,23:00:00,2452.3,2482.21692,2447.5,2479.3,1301.135335
2017/7/8,0:00:00,2479.4,2479.8,2460.6,2460.7,398.1989653
2017/7/8,1:00:00,2460.8,2464.6,2442.4,2452.8,818.2026893
2017/7/8,2:00:00,2454.5,2462.8,2445.5,2452.8,627.2425396
2017/7/8,3:00:00,2452.1,2473.2,2450.5,2466.3,283.9227066
2017/7/8,4:00:00,2466.4,2488,2466.3,2487,176.8442517
2017/7/8,5:00:00,2487.7,2488.2,2462.6,2463.5,350.6024383
2017/7/8,6:00:00,2463.4,2463.4,2436.1,2447,671.238719
2017/7/8,7:00:00,2446.9,2465.9,2437.5,2451.7,545.4468879
2017/7/8,8:00:00,2451.1,2458.8,2444,2458.2,429.5223864
2017/7/8,9:00:00,2458.8,2468,2452.5,2468,316.4508415
2017/7/8,10:00:00,2468,2476.6,2464.1,2475.5,415.6965155
2017/7/8,11:00:00,2475.5,2477.7,2459.9,2461.8,172.7797079
2017/7/8,12:00:00,2461.8,2486.6,2460,2477.6,286.6281037
2017/7/8,13:00:00,2478.1,2498,2478,2490.4,448.0564578
2017/7/8,14:00:00,2490.5,2522.7,2490.5,2518,1149.552943
2017/7/8,15:00:00,2515.5,2515.6,2505,2511.988466,282.74946
2017/7/8,16:00:00,2511.988466,2524.6,2505,2505.1,273.1497827
2017/7/8,17:00:00,2505.6,2507.4,2483.4,2496.6,468.9769022
2017/7/8,18:00:00,2495.6,2515.9,2494.3,2515.9,117.3536445
2017/7/8,19:00:00,2515.9,2536,2507.2,2530.8,465.4298365
2017/7/8,20:00:00,2531,2540,2522.8,2525,208.0463981
2017/7/8,21:00:00,2524.1,2533.2,2522.8,2528,166.2619414
2017/7/8,22:00:00,2528,2542.6,2523.7,2540.3,428.8484702
2017/7/8,23:00:00,2541.8,2542,2535.1,2542,194.3640775
2017/7/9,0:00:00,2542,2555.7,2540,2543.7,592.8640245
2017/7/9,1:00:00,2546,2551.8,2541.6,2544.9,169.6754139
2017/7/9,2:00:00,2544.8,2550.1,2531.2,2550,233.3709341
2017/7/9,3:00:00,2550.1,2550.6,2538.7,2545,314.2828743
2017/7/9,4:00:00,2544,2545.9,2538.223929,2540.9,112.8197399
2017/7/9,5:00:00,2539.592735,2543,2523.2,2529.8,318.4737315
2017/7/9,6:00:00,2527.7,2528.1,2505.2,2523,256.4960454
2017/7/9,7:00:00,2522.4,2526.4,2513.4,2519.2,98.36917363
2017/7/9,8:00:00,2519.1,2519.1,2495.6,2496.2,385.8667992
2017/7/9,9:00:00,2496.8,2521.8,2495,2505.9,245.2798423
2017/7/9,10:00:00,2505.3,2519.7,2504.2,2513.4,158.0662261
2017/7/9,11:00:00,2513.7,2518.4,2510.277458,2511,198.2869181
2017/7/9,12:00:00,2510.7,2518.4,2500.8,2506.1,283.6468878
2017/7/9,13:00:00,2506.2,2511.6,2495.8,2510.8,316.8378894
2017/7/9,14:00:00,2510.8,2516.1,2507.3,2515.7,242.5870712
2017/7/9,15:00:00,2515.9,2537.6,2515.9,2534.1,676.2471358
2017/7/9,16:00:00,2534.1,2534.2,2526.1,2529.3,529.1985063
2017/7/9,17:00:00,2529.1,2533.4,2526.4,2532.4,312.7181185
2017/7/9,18:00:00,2532.4,2533.9,2522.6,2522.7,274.2146297
2017/7/9,19:00:00,2522.7,2524.6,2516.4,2522,197.6902532
2017/7/9,20:00:00,2520.1,2525.5,2517.6,2517.6,286.446464
2017/7/9,21:00:00,2517.7,2519.4,2505.2,2514.2,281.881846
2017/7/9,22:00:00,2514.3,2515.5,2491,2497,565.6810393
2017/7/9,23:00:00,2496.9,2497.8,2470.8,2477.9,732.1564394
2017/7/10,0:00:00,2480.5,2493,2462.2,2464.1,418.9162036
2017/7/10,1:00:00,2464.1,2488.5,2464.1,2487.3,414.8406509
2017/7/10,2:00:00,2487.4,2496.3,2479.3,2480.6,245.6142769
2017/7/10,3:00:00,2480.7,2481,2475.2,2477.8,146.54588
2017/7/10,4:00:00,2477.7,2477.7,2467.1,2472.5,223.8238014
2017/7/10,5:00:00,2474.3,2479.6,2468.1,2479.5,155.7939226
2017/7/10,6:00:00,2478.3,2480.2,2469.3,2474,192.0640676
2017/7/10,7:00:00,2474,2499.9,2473.9,2497.387861,347.8326181
2017/7/10,8:00:00,2497.3,2497.3,2490.7,2492.7,142.3509084
2017/7/10,9:00:00,2492.809205,2494.8,2485.7,2490.051426,184.1726751
2017/7/10,10:00:00,2489.253259,2493.1,2474.3,2483.4,126.2538779
2017/7/10,11:00:00,2480.6,2482.4,2442,2445.6,1036.656652
2017/7/10,12:00:00,2445.2,2456.9,2420,2425.2,1934.915966
2017/7/10,13:00:00,2425.4,2449.9,2385,2408.5,1836.495962
2017/7/10,14:00:00,2407.8,2415.8,2369.6,2374.8,2079.17799
2017/7/10,15:00:00,2374.7,2403.2,2331.7,2358.8,2686.853914
2017/7/10,16:00:00,2358.8,2410,2350.6,2388,1440.265005
2017/7/10,17:00:00,2387.3,2403.9,2380,2392.5,832.727615
2017/7/10,18:00:00,2392.6,2395,2361,2377.7,1353.954378
2017/7/10,19:00:00,2377.8,2400.3,2377.7,2387.4,1278.568402
2017/7/10,20:00:00,2387.4,2388.7,2350,2371.5,1260.359525
2017/7/10,21:00:00,2371.5,2374.7,2305,2318.9,3110.9784
2017/7/10,22:00:00,2317.6,2343.1,2300.2,2311,2163.698686
2017/7/10,23:00:00,2313,2331.6,2236.6,2318.3,4475.136675
2017/7/11,0:00:00,2318.3,2355,2307.7,2339.9,1267.531163
2017/7/11,1:00:00,2339.9,2345.8,2319.9,2332.2,669.602053
2017/7/11,2:00:00,2331.6,2333.9,2273.1,2294,1315.896891
2017/7/11,3:00:00,2294,2305.012214,2254.3,2261.6,1190.38058
2017/7/11,4:00:00,2261.6,2297,2241.2,2275.5,1438.721094
2017/7/11,5:00:00,2274.8,2295.3,2250.1,2250.1,1034.016756
2017/7/11,6:00:00,2250.1,2250.3,2182,2195.6,3522.624512
2017/7/11,7:00:00,2193.3,2298,2191.1,2298,2196.577523
2017/7/11,8:00:00,2298,2300,2251.2,2253.7,1411.612165
2017/7/11,9:00:00,2253.7,2320,2251,2317.9,1340.813816
2017/7/11,10:00:00,2317.7,2318.7,2274.7,2298.7,908.5745592
2017/7/11,11:00:00,2299.9,2317,2296.6,2315.608138,694.7863742
2017/7/11,12:00:00,2315.7,2375,2315.7,2372,3262.110144
2017/7/11,13:00:00,2372,2375,2303.3,2334,2023.796762
2017/7/11,14:00:00,2334,2339.8,2306,2338.2,1323.235191
2017/7/11,15:00:00,2338.1,2339.7,2307,2314.9,720.5757837
